time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	-0.2102	2.8588	0	0	0	lidar	0	-0.2102	2.8588	0	2.75	0	1
1477010443400000	-0.14944	3.29202	0.0161005	-2.24944e-17	7.34958e-18	radar	0.225952	-0.137075	3.54905	-0.022	3.0991	-0.1097	0.994
1477010443800000	0.13011	3.41665	0.63258	0.00224783	0.00162717	lidar	0.817657	0.1772	3.4385	-0.0938	3.4924	-0.2334	0.9724
1477010444200000	-0.120045	3.59331	0.279851	1.42797	0.948477	radar	13.1386	-0.23694	4.03846	-0.2143	3.8735	-0.3535	0.9354
1477010444600000	-0.249356	4.00131	0.619419	2.45665	1.08679	lidar	12.1044	-0.5873	4.2079	-0.3817	4.2365	-0.4679	0.8838
1477010445000000	-0.497104	4.47919	1.04343	1.3605	0.422732	radar	7.34365	-0.582277	4.82479	-0.5932	4.5757	-0.575	0.8181
1477010445400000	-0.603683	4.83861	1.09402	1.85413	0.557947	lidar	0.310682	-0.641	4.8488	-0.8456	4.8857	-0.673	0.7396
1477010445800000	-1.05687	5.1751	1.21417	2.59641	0.822134	radar	4.35823	-1.10852	4.86111	-1.1348	5.1616	-0.7604	0.6494
1477010446200000	-1.39374	5.29874	1.18287	2.92074	0.830444	lidar	0.0578168	-1.3765	5.2873	-1.4564	5.3991	-0.8358	0.549
1477010446600000	-1.83537	5.397	1.24309	3.18888	0.808299	radar	1.65875	-1.96852	5.71159	-1.8051	5.5945	-0.898	0.4399
1477010447000000	-2.30815	5.62298	1.22684	3.07898	0.522423	lidar	1.95474	-2.3088	5.7256	-2.1756	5.7445	-0.9461	0.3239
1477010447400000	-2.70468	5.89828	1.13578	2.81873	0.146535	radar	2.17604	-2.64043	6.07172	-2.562	5.847	-0.9792	0.2028
1477010447800000	-2.95775	5.7903	0.963632	3.07035	0.24098	lidar	2.98601	-2.8481	5.6817	-2.9582	5.9002	-0.9969	0.0785
1477010448200000	-3.1502	5.85687	0.819668	2.99024	0.0677399	radar	3.98339	-2.80945	5.6125	-3.3579	5.9033	-0.9989	-0.0471
1477010448600000	-3.67189	5.7464	0.995106	3.27391	0.240297	lidar	2.30249	-3.7885	5.6829	-3.7549	5.8563	-0.9851	-0.1719
1477010449000000	-3.92668	5.48362	0.908445	3.65737	0.431273	radar	5.34087	-3.56011	5.01001	-4.1429	5.76	-0.9558	-0.294
1477010449400000	-4.39891	5.55202	0.974671	3.40998	0.166242	lidar	3.60829	-4.5139	5.6716	-4.5157	5.6157	-0.9114	-0.4115
1477010449800000	-4.63534	5.41672	0.88969	3.50969	0.151507	radar	2.95475	-4.28026	5.17338	-4.8675	5.4259	-0.8526	-0.5225
1477010450200000	-4.9832	5.10287	0.981946	3.7833	0.281941	lidar	0.934422	-5.0083	5.0265	-5.1927	5.1935	-0.7804	-0.6252
1477010450600000	-5.31747	4.68665	1.11018	4.1703	0.524642	radar	2.67131	-5.56854	4.62025	-5.4863	4.9222	-0.6959	-0.7181
1477010451000000	-5.5092	4.42818	1.02818	4.26648	0.464912	lidar	0.583762	-5.5025	4.496	-5.7435	4.6162	-0.6004	-0.7997
1477010451400000	-5.67429	4.3452	0.795505	4.20018	0.289729	radar	6.16501	-5.70583	4.82543	-5.9603	4.2804	-0.4955	-0.8686
1477010451800000	-6.02248	3.96405	0.974307	4.12745	0.167496	lidar	2.22	-6.1349	3.8905	-6.1333	3.92	-0.3827	-0.9239
1477010452200000	-6.07846	3.43784	1.08478	4.59486	0.489312	radar	3.41312	-5.91569	3.14771	-6.2599	3.5408	-0.2639	-0.9646
1477010452600000	-6.23527	3.00225	1.13645	4.61645	0.378084	lidar	0.677668	-6.302	2.9821	-6.3378	3.1487	-0.1409	-0.99
1477010453000000	-6.46675	2.50868	1.23306	4.53634	0.265853	radar	5.6618	-7.04297	2.5294	-6.3661	2.75	-0.0157	-0.9999
1477010453400000	-6.43026	2.23452	1.04928	4.73568	0.335599	lidar	1.95416	-6.3941	2.3573	-6.3441	2.3509	0.1097	-0.994
1477010453800000	-6.47763	2.05028	0.848732	4.75513	0.254331	radar	4.70435	-6.70301	2.42094	-6.2723	1.9576	0.2334	-0.9724
1477010454200000	-6.23113	1.70865	0.863983	5.12396	0.418472	lidar	1.61795	-6.1219	1.6903	-6.1518	1.5765	0.3535	-0.9355
1477010454600000	-6.02387	1.17604	1.17754	5.40425	0.589518	radar	8.18779	-6.25643	0.958963	-5.9844	1.2135	0.4679	-0.8838
1477010455000000	-5.84185	0.833165	1.14184	5.46281	0.480718	lidar	0.513941	-5.9021	0.8403	-5.7729	0.8743	0.575	-0.8182
1477010455400000	-5.74792	0.439838	0.991066	5.23931	0.118417	radar	3.08462	-5.81238	0.433198	-5.5205	0.5643	0.673	-0.7396
1477010455800000	-5.0862	0.345159	1.05424	5.94591	0.551801	lidar	6.59103	-4.8902	0.4091	-5.2312	0.2884	0.7604	-0.6495
1477010456200000	-4.82925	0.294361	0.80877	6.10266	0.490204	radar	6.73943	-4.76611	-0.137814	-4.9097	0.0509	0.8358	-0.549
1477010456600000	-4.50221	-0.0783435	0.929494	5.81817	0.167433	lidar	1.79507	-4.4388	-0.1579	-4.5609	-0.1444	0.898	-0.44
1477010457000000	-4.13658	-0.135642	1.00421	6.11101	0.367207	radar	3.23094	-4.3784	-0.303437	-4.1904	-0.2945	0.9461	-0.3239
1477010457400000	-3.8485	-0.425718	1.0036	5.91998	0.169478	lidar	0.682466	-3.8853	-0.4655	-3.804	-0.397	0.9792	-0.2028
1477010457800000	-3.37815	-0.26853	1.02393	6.42069	0.455818	radar	3.39538	-3.00481	-0.207942	-3.4079	-0.4502	0.9969	-0.0785
1477010458200000	-3.09985	-0.362948	0.946104	6.30091	0.246241	lidar	1.80299	-3.159	-0.4705	-3.0081	-0.4533	0.9989	0.0471
1477010458600000	-2.80714	-0.324517	0.911603	6.43583	0.277676	radar	2.13519	-3.09493	-0.424448	-2.6112	-0.4063	0.9851	0.1719
1477010459000000	-2.24204	-0.405312	1.08175	6.28093	0.10325	lidar	2.43475	-2.1045	-0.4145	-2.2232	-0.31	0.9558	0.294
1477010459400000	-1.90537	-0.344408	1.05143	6.41362	0.173415	radar	2.89157	-2.26474	-0.210528	-1.8504	-0.1657	0.9114	0.4115
