time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	-3.03909	-0.087429	0	radar	0	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.44628	0.251571	-3.03487	-0.0877834	-2.5062e-05	lidar	0.0074181	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.46759	0.251108	-2.62908	-0.128246	-0.00823877	radar	0.956849	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.42161	0.25769	-2.56533	-0.120974	-0.00667686	lidar	0.113395	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.32934	0.263953	-2.59468	-0.0916451	0.000588258	radar	0.125242	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.23392	0.258105	-2.57686	-0.0349231	0.013283	lidar	0.0129119	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	8.00045	0.225746	-3.4573	0.122574	0.0758168	radar	3.27733	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	7.85033	0.176378	-3.45978	0.203688	0.107417	lidar	0.0413278	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.6794	0.153575	-3.51511	0.183369	0.0820106	radar	0.080517	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.52227	0.143892	-3.49181	0.150536	0.0513949	lidar	0.0459251	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.45707	0.0713845	-2.89508	0.273987	0.386679	radar	8.7059	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.3172	0.0305991	-2.88095	0.291327	0.381828	lidar	0.0386684	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.16126	0.00133725	-2.90996	0.267846	0.251572	radar	0.163141	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
1477010444079717	7.02074	-0.0473847	-2.90101	0.290983	0.269347	lidar	0.0657385	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	6.92759	-0.176816	-2.78462	0.55581	0.997912	radar	6.35363	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	6.81268	-0.260312	-2.77355	0.614938	1.00855	lidar	0.0762145	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	6.70248	-0.342493	-2.77672	0.664973	1.00644	radar	0.0143931	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	6.6059	-0.440568	-2.77632	0.730192	1.03106	lidar	0.108604	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	6.56486	-0.618404	-2.79769	1.02866	1.60144	radar	4.44397	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	6.50861	-0.719007	-2.76616	1.09686	1.59237	lidar	0.41358	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	6.46331	-0.878198	-2.78824	1.25266	1.73524	radar	0.54302	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	6.42899	-1.03075	-2.78927	1.35471	1.74287	lidar	0.0722375	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	6.31614	-1.10819	-2.68767	1.21232	1.29681	radar	11.3593	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	6.26682	-1.24837	-2.68976	1.282	1.29427	lidar	0.00778318	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	6.35102	-1.45638	-2.7671	1.59688	1.71358	radar	20.5903	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	6.36174	-1.6154	-2.7758	1.69218	1.71195	lidar	0.0896124	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	6.29637	-1.71246	-2.67742	1.60682	1.42982	radar	16.6801	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	6.29305	-1.86237	-2.69891	1.67023	1.41463	lidar	0.535995	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	6.33817	-2.01576	-2.7396	1.79102	1.49122	radar	2.45118	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	6.36593	-2.16142	-2.75494	1.86025	1.48145	lidar	0.331721	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	6.35707	-2.29725	-2.70484	1.85603	1.35164	radar	8.13123	6.32593	-2.40018	6.35	-2.4	0	-2.72613
1477010445029767	6.39018	-2.45605	-2.72342	1.91866	1.33514	lidar	0.583202	6.34927	-2.55175	6.35	-2.55	0	-2.72611
1477010445084742	6.43767	-2.60342	-2.72929	1.98239	1.32104	radar	0.346231	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
1477010445139717	6.4851	-2.75616	-2.74504	2.03992	1.30253	lidar	0.562436	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
1477010445189758	6.50346	-2.87877	-2.70501	2.0452	1.21689	radar	6.6148	6.46536	-3.00452	6.45	-3	0	-2.99754
1477010445239799	6.53811	-3.02473	-2.72519	2.07916	1.18621	lidar	1.39596	6.44119	-3.14955	6.45	-3.15	0	-2.99754
1477010445294720	6.59828	-3.16628	-2.7296	2.12682	1.16423	radar	0.774427	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
1477010445349641	6.64709	-3.32264	-2.74861	2.15962	1.13003	lidar	1.6139	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
1477010445404670	6.73231	-3.46057	-2.7701	2.22144	1.13357	radar	1.11401	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
1477010445459700	6.80552	-3.61036	-2.7888	2.25913	1.10577	lidar	1.26484	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
1477010445514767	6.87964	-3.73739	-2.772	2.29099	1.06801	radar	2.593	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
1477010445569835	6.94713	-3.89133	-2.79007	2.31207	1.02731	lidar	2.02822	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
1477010445624820	7.02103	-4.01514	-2.76982	2.3365	0.987904	radar	3.07253	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
1477010445679806	7.07927	-4.17301	-2.78352	2.34094	0.935633	lidar	2.82513	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
1477010445734748	7.1409	-4.28886	-2.73075	2.34685	0.876441	radar	12.0566	7.05156	-4.49706	7	-4.45	0.910054	-1.8201
1477010445789690	7.19807	-4.43593	-2.73419	2.34841	0.828949	lidar	2.24468	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201
1477010445844738	7.27566	-4.5522	-2.71136	2.36651	0.796073	radar	2.79448	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489
1477010445899786	7.32478	-4.70989	-2.71537	2.35249	0.736944	lidar	3.26227	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489
1477010445954759	7.42928	-4.83546	-2.74065	2.38582	0.732874	radar	2.50164	7.3138	-5.05204	7.25	-5	1.81907	-2.72861
1477010446009732	7.48021	-4.99586	-2.74366	2.36571	0.671143	lidar	3.37992	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861
1477010446064786	7.56077	-5.11421	-2.72757	2.37748	0.643323	radar	2.01609	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246
1477010446119841	7.61068	-5.28003	-2.73157	2.35019	0.579064	lidar	3.44519	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457
1477010446174794	7.70196	-5.40048	-2.72725	2.36448	0.559511	radar	0.950784	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974
