time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.714448	0.588671	7.06909	-8.22279e-18	6.97007e-18	radar	74.4603	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16101	0.493492	7.07145	-0.0688378	-0.0082776	lidar	0.185285	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.2767	0.513696	7.06645	0.192276	0.0387689	radar	1.81013	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61349	0.59467	7.08552	0.245169	0.0529444	lidar	0.202013	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.82107	0.569758	6.34407	0.0935442	-0.0575858	radar	4.25766	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15307	0.616075	6.35843	0.10827	-0.0296837	lidar	0.15986	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36917	0.642857	5.60843	0.088189	-0.222269	radar	7.97484	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64854	0.665702	5.61068	0.0766282	-0.224746	lidar	0.00268135	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91557	0.655416	5.5267	0.0183938	-0.427896	radar	0.539325	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15128	0.652613	5.48439	0.00287951	-0.399531	lidar	1.10604	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43889	0.544838	5.51807	-0.159722	-0.88161	radar	1.48178	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74386	0.430119	5.58701	-0.288948	-1.14128	lidar	2.20268	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02354	0.515642	5.54709	-0.145019	-0.576687	radar	4.08504	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29779	0.506518	5.53151	-0.139917	-0.493179	lidar	0.349696	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55856	0.540505	5.46145	-0.100744	-0.352649	radar	2.04734	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.74784	0.647661	5.30701	0.00376266	-0.0916851	lidar	12.7517	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.0011	0.644855	5.26054	-0.00664386	-0.104235	radar	2.16385	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30355	0.641691	5.30733	-0.014387	-0.10996	lidar	2.45131	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56096	0.649497	5.30874	-0.00868168	-0.0890315	radar	1.62956	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85481	0.665867	5.33777	-0.000855474	-0.0691634	lidar	1.57817	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.10027	0.590187	5.30436	-0.0562603	-0.153463	radar	3.91309	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.3572	0.704868	5.27951	0.0194559	-0.0259894	lidar	4.076	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.60974	0.734954	5.25427	0.0327133	-0.00523555	radar	0.915311	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.85915	0.734472	5.24207	0.0275476	-0.0119512	lidar	0.333213	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.10771	0.715762	5.20734	0.010342	-0.0365566	radar	3.93217	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.33231	0.8012	5.1681	0.0551397	0.0262368	lidar	3.65206	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.6185	0.812257	5.20726	0.054676	0.0242167	radar	3.48608	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.86946	0.792183	5.19967	0.0381552	0.00162295	lidar	0.556029	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.12403	0.808093	5.18034	0.0400593	0.00243308	radar	2.93475	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.36406	0.827357	5.16316	0.045136	0.00883409	lidar	0.706358	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.62601	0.913759	5.18111	0.083642	0.0574801	radar	6.56245	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.86396	0.974038	5.1637	0.105734	0.0813723	lidar	1.09417	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.14788	1.01139	5.19095	0.113584	0.0856514	radar	6.44331	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.3858	1.04636	5.17382	0.120973	0.0897571	lidar	0.864882	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.65944	1.11674	5.19498	0.143133	0.11111	radar	4.48595	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92715	1.24499	5.21048	0.190802	0.162359	lidar	3.31737	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1807	1.33404	5.2016	0.218266	0.187694	radar	4.73293	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4089	1.41772	5.18285	0.241374	0.205143	lidar	1.43504	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6497	1.50618	5.16199	0.266823	0.22782	radar	4.6981	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8806	1.54161	5.1429	0.263888	0.21104	lidar	1.592	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1423	1.59361	5.1531	0.265474	0.199258	radar	1.53338	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4167	1.6401	5.17105	0.262795	0.182907	lidar	1.54285	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6536	1.70219	5.15359	0.271587	0.184727	radar	1.29209	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8867	1.76876	5.14129	0.280629	0.185022	lidar	0.613573	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1367	1.85701	5.15235	0.295705	0.190409	radar	1.06504	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3813	1.8877	5.14171	0.284657	0.16562	lidar	0.848635	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6327	1.94696	5.14854	0.284646	0.153492	radar	0.875788	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8357	2.08345	5.12896	0.326081	0.195556	lidar	3.73127	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0915	2.18364	5.15352	0.338813	0.194432	radar	3.50736	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2956	2.3269	5.13799	0.378815	0.231982	lidar	2.76529	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4871	2.48175	5.10635	0.42778	0.2849	radar	11.2363	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7315	2.59396	5.11786	0.442206	0.284501	lidar	0.595092	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9528	2.71217	5.11051	0.46253	0.294178	radar	0.331454	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1772	2.86174	5.11903	0.492461	0.311968	lidar	0.452968	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4206	2.96422	5.13395	0.491099	0.284562	radar	1.50198	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6327	3.04369	5.10921	0.489578	0.267444	lidar	2.48653	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8577	3.18838	5.12418	0.508821	0.268927	radar	3.9112	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0593	3.37672	5.13249	0.552103	0.303953	lidar	1.19005	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2701	3.54096	5.13585	0.582674	0.325212	radar	2.41048	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.478	3.72402	5.14878	0.616141	0.344667	lidar	0.763572	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6913	3.85744	5.14536	0.625092	0.334481	radar	0.932133	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9106	4.0009	5.14995	0.635651	0.326828	lidar	0.235038	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1084	4.16892	5.14488	0.665031	0.350145	radar	1.68533	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3031	4.35992	5.15549	0.69545	0.364436	lidar	0.465535	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5123	4.51929	5.16169	0.706166	0.353216	radar	0.697816	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6922	4.69279	5.15446	0.729268	0.360218	lidar	0.416759	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8479	4.9018	5.14027	0.783118	0.421485	radar	4.84606	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.012	5.12063	5.14978	0.820756	0.439921	lidar	0.530453	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1819	5.30264	5.14095	0.845105	0.448861	radar	1.89278	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3453	5.48648	5.13229	0.865737	0.447651	lidar	0.289564	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5004	5.67429	5.11873	0.893836	0.463484	radar	3.66027	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7008	5.80506	5.09974	0.883035	0.426514	lidar	2.48591	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.839	6.02029	5.09371	0.9253	0.463745	radar	1.58333	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.018	6.20116	5.09336	0.932712	0.445717	lidar	0.734857	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1621	6.41675	5.09613	0.961063	0.454775	radar	0.547031	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2868	6.64197	5.0967	0.993816	0.466134	lidar	0.30776	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4137	6.86506	5.09628	1.02602	0.481326	radar	0.274248	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5689	7.0158	5.06144	1.02454	0.456019	lidar	3.68492	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7132	7.22678	5.06548	1.03602	0.436644	radar	0.383741	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9162	7.36832	5.04419	1.01384	0.389165	lidar	5.23893	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9965	7.5983	5.02809	1.06622	0.444489	radar	4.98488	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0926	7.83724	5.03148	1.10029	0.457564	lidar	0.42565	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2076	8.05622	5.02849	1.11985	0.453137	radar	0.436844	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2916	8.2673	5.00773	1.14726	0.460397	lidar	2.25085	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3851	8.48992	5.00152	1.16709	0.451429	radar	2.64187	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4849	8.65344	4.9521	1.17556	0.440387	lidar	7.17642	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.567	8.88029	4.94534	1.20555	0.456254	radar	1.02906	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7355	9.04775	4.92268	1.18706	0.412607	lidar	5.73762	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.7984	9.286	4.91916	1.22744	0.446548	radar	1.09243	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9367	9.48923	4.91374	1.2236	0.418052	lidar	2.81304	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9709	9.73128	4.90498	1.27683	0.473172	radar	3.18108	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.066	9.94904	4.89832	1.28781	0.459747	lidar	0.583535	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1203	10.1982	4.90702	1.31309	0.456115	radar	6.35806	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1753	10.4423	4.91096	1.33852	0.458654	lidar	0.0443078	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1845	10.6885	4.90466	1.38965	0.504798	radar	3.19005	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2497	10.9347	4.91342	1.40616	0.494482	lidar	1.05804	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2761	11.1878	4.92028	1.43346	0.492872	radar	4.53121	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3131	11.4181	4.91023	1.45447	0.489928	lidar	0.259873	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.254	11.6729	4.90429	1.53379	0.580623	radar	10.9893	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3289	11.9043	4.90189	1.5353	0.55139	lidar	4.53602	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3516	12.1427	4.89884	1.54086	0.506204	radar	3.85584	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3451	12.4048	4.91239	1.57096	0.509831	lidar	0.470313	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2921	12.6478	4.90676	1.63115	0.570575	radar	3.4433	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3181	12.8836	4.90143	1.64266	0.553209	lidar	1.79307	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3013	13.1213	4.89633	1.67124	0.558626	radar	2.25073	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2645	13.3394	4.87555	1.70253	0.564446	lidar	1.72934	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2225	13.5776	4.87311	1.7296	0.55791	radar	1.4134	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2065	13.8232	4.87684	1.74773	0.547316	lidar	0.967791	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1467	14.0557	4.87245	1.78562	0.566853	radar	1.00204	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0961	14.2981	4.87647	1.81201	0.564379	lidar	0.110741	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
